sampleid,tepname,Temperature,tepvalue,id_tematdb,dbtype,version,update
1,rho,570.549738219895,2.0550607287449445e-05,1,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
1,rho,593.71727748691,2.37196261682243e-05,1,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
1,rho,619.633507853403,2.60307692307693e-05,1,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
1,rho,643.193717277486,2.8840909090909185e-05,1,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
1,rho,668.324607329842,3.1141104294478556e-05,1,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
1,rho,692.277486910994,3.47671232876714e-05,1,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
1,rho,717.015706806282,3.625714285714289e-05,1,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
1,rho,740.968586387434,4.060800000000023e-05,1,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
1,rho,765.314136125654,4.195041322314055e-05,1,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
1,rho,814.005235602094,4.743925233644882e-05,1,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
1,rho,863.089005235602,5.400000000000005e-05,1,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
1,kappa,298.524892440073,3.07215861770492,1,tematdb_by_keri,tematdb_completeteps_csv_v10.00_20220606_0full_1_to_424,2022-06-07 00:33:58.492898
